P1	P2	P3	chr	d_stat	z_score	admix_f	f_ci_lower	f_ci_upper
javanicus	HSOK	MIKK	14	0.7502407214056344	51.69424073622466	0.28960792746959213	0.2603246328299602	0.31889122210922405
javanicus	HSOK	MIKK	15	0.7186053008309475	44.4415756751809	0.256394760632571	0.22623095328071754	0.2865585679844245
javanicus	HSOK	MIKK	16	0.7371635214641987	31.592390392802432	0.28292506500257003	0.25366977157109594	0.3121803584340441
javanicus	HSOK	MIKK	17	0.7450074952548894	47.44089695302758	0.29273489182258844	0.2530308899807007	0.33243889366447615
javanicus	HSOK	MIKK	18	0.7291382666472791	24.12538290783861	0.29093563683257495	0.22618176659466188	0.355689507070488
javanicus	HSOK	MIKK	19	0.717320725538646	44.280426096035484	0.2992592067161246	0.26612486549288583	0.3323935479393634
javanicus	HSOK	MIKK	20	0.7212189418162325	23.919907625894847	0.26075850017965196	0.22157356473517154	0.2999434356241324
javanicus	HSOK	MIKK	21	0.7344588812678275	38.653589351990426	0.25601764312687697	0.23484617151685294	0.277189114736901
javanicus	HSOK	MIKK	22	0.7551796318552294	38.72980611660526	0.31451862177828305	0.29192491927903125	0.33711232427753485
javanicus	HSOK	MIKK	23	0.7081555262692544	30.15865903648361	0.22794914614820805	0.20226203529991046	0.25363625699650566
javanicus	HSOK	MIKK	24	0.7288153273331838	57.12328567958454	0.2632802353801641	0.24008816452328427	0.28647230623704395
melastigma	HdrR	MIKK	all	0.8870740560318353	277.8183101839419	0.6860647774596991	0.671249547562064	0.7008800073573341
melastigma	HdrR	MIKK	1	0.926524715656969	118.24571532372912	0.783149485671632	0.746695364684146	0.819603606659118
melastigma	HdrR	MIKK	2	0.8970202558739023	61.68223231522989	0.7621795979338432	0.6999464154098614	0.824412780457825
melastigma	HdrR	MIKK	3	0.8660676187086213	58.24120821467756	0.5968322301380649	0.5217980837702224	0.6718663765059073
melastigma	HdrR	MIKK	4	0.9164113975777679	95.38918997985286	0.7399951033101898	0.6811116766026035	0.7988785300177761
