P1	P2	chr	d_stat	z_score	admix_f	f_ci_lower	f_ci_upper
melastigma	HSOK	19	0.658139955937717	12.4391843382492	0.247879997832672	0.18958015198442	0.324910012642424
melastigma	HSOK	20	0.681715709378412	16.6718799539233	0.231849505076292	0.217783133614724	0.29670703101212
melastigma	HSOK	21	0.750467911556051	25.7327750613876	0.257265611752845	0.221044923913892	0.293445240712952
melastigma	HSOK	22	0.675081751136074	9.71011999207391	0.2476810537428	0.150259451740793	0.364230712886051
melastigma	HSOK	23	0.726621235433071	14.5410576500823	0.238127910719955	0.206541849914	0.307948314712844
melastigma	HSOK	24	0.684972523122192	23.2002188782892	0.248479936511923	0.222415095148093	0.292075069478752
melastigma	javanicus	all	0.0171006989065289	2.47222958865264	0.000917932567765427	0.000209786879286378	0.00162607825624448
melastigma	javanicus	1	0.00768985357513516	0.387823935914686	0.000412502311310956	-0.00111148243651481	0.00294734757204566
melastigma	javanicus	2	0.0318012485309292	0.915944874425796	0.00166621856357003	-0.00250692938388046	0.00434279451941131
melastigma	javanicus	3	0.0737776335982377	1.69869742614994	0.00395677120147177	-0.00324467449536935	0.00508053963090021
melastigma	javanicus	4	0.0188465344961932	0.741256716508287	0.000975392353240952	-0.00179479601105764	0.0036306611465885
melastigma	javanicus	5	0.00158397866756016	0.0394630501565429	0.000208542922787922	-0.00291863406322838	0.00475449919875924
melastigma	javanicus	6	0.0156414155955874	0.359741210094193	0.000862849291428757	-0.00298936719093698	0.00482523232646783
melastigma	javanicus	7	-0.0135071443323439	-0.38177292863094	-0.000638183938939335	-0.00297567010513425	0.00481153524066511
melastigma	javanicus	8	-0.00115398873778541	-0.0238448096183743	-4.26274904792291e-05	-0.00466384295969645	0.00649970809522731
melastigma	javanicus	9	0.0508512126931484	1.36457635475281	0.00282672493682331	-0.00296947968582834	0.0048053448213592
melastigma	javanicus	10	-0.00583560063024899	-0.266646114173842	-0.000184827913879717	-0.00101101387349666	0.00284687900902752
melastigma	javanicus	11	0.080274561452589	1.37803318137682	0.00438833687447162	-0.00500777608569157	0.00684364122122243
melastigma	javanicus	12	0.0948516638128669	2.10700205480661	0.00469866451199674	-0.00357647177407081	0.00541233690960167
melastigma	javanicus	13	0.00541142678133453	0.134760457264469	0.000221454205969064	-0.00316221193382723	0.00499807706935809
melastigma	javanicus	14	-0.00966463366367254	-0.232789811765108	-0.000541415263147678	-0.00304854553260011	0.00488441066813096
melastigma	javanicus	15	0.0437340155149294	1.37605899130201	0.0021700021766187	-0.00228763500356398	0.00412350013909484
melastigma	javanicus	16	0.0591049570829884	1.48370497293614	0.0029849605811644	-0.0029998761686027	0.00483574130413356
melastigma	javanicus	17	0.00386693769879337	0.0701258852784468	0.000423212707124202	-0.00467455559300007	0.00651042072853093
melastigma	javanicus	18	-0.0148379772875252	-0.404221573777166	-0.000727844825589219	-0.00370660136059257	0.00554246649612343
