P1	P2	chr	d_stat	z_score	admix_f	f_ci_lower	f_ci_upper
HSOK	HNI	3	0.158968606272754	4.23208294370803	0.0188922210232266	0.00959453786467404	0.0281899041817792
HSOK	HNI	4	0.282310801448154	5.18361140304822	0.0212635301715932	0.00509466383393636	0.03743239650925
HSOK	HNI	5	0.16068592063046	2.23321806324904	0.0181270324089753	0.00325872223056995	0.0329953425873806
HSOK	HNI	6	0.247352180982606	5.01439996401543	0.036052844865101	0.0190800210244597	0.0530256687057422
HSOK	HNI	7	0.200352180576202	2.39947572460286	0.0405700180432394	0.00269150323525397	0.0784485328512248
HSOK	HNI	8	0.0750681188202082	0.82318609663034	0.00886310927763123	-0.00936379601065173	0.0270900145659142
HSOK	HNI	9	0.216253144745222	4.58465623610906	0.033317023762084	0.0175033600967403	0.0491306874274277
HSOK	HNI	10	0.165178009472746	4.81846324670475	0.00552361039359709	0.00357090880126262	0.00747631198593155
HSOK	HNI	11	0.12777626563026	4.34266585298595	0.019146231880131	0.00778854687980187	0.0305039168804602
HSOK	HNI	12	0.200566902758341	2.82601716716979	0.0223597634127495	0.00929188383186034	0.0354276429936387
HSOK	HNI	13	0.113853523279056	1.89873794180693	0.0144132294141912	0.000820272326623161	0.0280061865017592
HSOK	HNI	14	0.220780247499145	2.97222675217577	0.0162365252233137	0.00465711157216795	0.0278159388744594
HSOK	HNI	15	0.207993102221712	5.66349422333693	0.0151848991855685	0.00664303371842143	0.0237267646527156
HSOK	HNI	16	0.139640811964321	2.4082616239319	0.0150060670802313	0.00250390427496723	0.0275082298854953
HSOK	HNI	17	0.101575880376394	1.29755332056919	0.00673382946465944	-0.0069004646593157	0.0203681235886346
HSOK	HNI	18	0.139329585024707	3.30544617592372	0.0175046183970214	0.00361406661504132	0.0313951701790015
HSOK	HNI	19	0.14470726354765	1.70852101389475	0.0213309131501586	0.00182169702553482	0.0408401292747825
HSOK	HNI	20	0.184739278067459	1.79658079719582	0.0233340373602332	0.00578785206325691	0.0408802226572094
HSOK	HNI	21	0.237251423501589	2.28455833948669	0.0172076591729812	-8.92107790806673e-05	0.0345045291250431
HSOK	HNI	22	0.199183857723168	2.73878201807752	0.0282182550912885	0.00792201900011862	0.0485144911824583
HSOK	HNI	23	0.233567762053019	1.24006174301389	0.0180996380338363	-0.0106557666946923	0.0468550427623648
HSOK	HNI	24	0.222641800807918	5.03069070581896	0.0211122027088945	0.0100046514919174	0.0322197539258717
